year,month,period,importer_state,urf_code,urf_name,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
2012,10,2012-10-01,ES,1017700,1017700 - PORTO DE RIO GRANDE,15,14,741,13,0,754,49.4,0.933333,52.928571,1
2012,10,2012-10-01,PB,0417800,0417800 - PORTO DE SUAPE,41835,33152,325453,24855,0,350308,7.779443,0.792447,9.816994,1
2012,10,2012-10-01,PB,0717800,0717800 - PORTO DE ITAGUAI,624739,418690,15428592,280638,27605,15736835,24.69606,0.670184,36.849679,4
2012,10,2012-10-01,PR,0915200,0915200 - CURITIBA,178,165,11012,3180,7,14199,61.865169,0.926966,66.739394,2
2012,10,2012-10-01,PR,0917800,0917800 - PORTO DE PARANAGUA,71994,55967,1330675,37760,712,1369147,18.483137,0.777384,23.776064,7
2012,10,2012-10-01,RJ,0717700,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO,20,2,316,1,0,317,15.8,0.1,158.0,3
2012,10,2012-10-01,RS,1017700,1017700 - PORTO DE RIO GRANDE,240,181,5150,316,45,5511,21.458333,0.754167,28.453039,1
2012,10,2012-10-01,SC,0817700,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS,24,21,1272,132,0,1404,53.0,0.875,60.571429,1
2012,10,2012-10-01,SC,0920351,0920351 - DIONISIO CERQUEIRA,113535,78027,2177756,38100,4462,2220318,19.181363,0.687251,27.910287,1
2012,10,2012-10-01,SC,0927800,0927800 - ITAJAI,380,246,12119,370,25,12514,31.892105,0.647368,49.264228,1
2012,10,2012-10-01,SP,0817600,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,612,370,43928,5791,21,49740,71.777778,0.604575,118.724324,6
2012,10,2012-10-01,SP,0817700,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS,700,406,33759,6506,31,40296,48.227143,0.58,83.150246,4
2012,10,2012-10-01,SP,0817800,0817800 - PORTO DE SANTOS,89934,54434,1667882,36525,3296,1707703,18.545622,0.605266,30.640445,9
2012,11,2012-11-01,DF,0117600,0117600 - AEROPORTO INTERNACIONAL DE BRASILIA,273,186,7100,1422,0,8522,26.007326,0.681319,38.172043,1
2012,11,2012-11-01,ES,0717800,0717800 - PORTO DE ITAGUAI,11,6,513,37,0,550,46.636364,0.545455,85.5,1
2012,11,2012-11-01,MG,0615100,0615100 - IRF/BELO HORIZONTE - MG,405,237,15304,1886,0,17190,37.787654,0.585185,64.57384,1
2012,11,2012-11-01,PB,0417800,0417800 - PORTO DE SUAPE,58535,46874,587737,37392,0,625129,10.040779,0.800786,12.538657,1
2012,11,2012-11-01,PB,0717800,0717800 - PORTO DE ITAGUAI,399672,254890,9536919,166120,17157,9720196,23.861864,0.637748,37.415823,3
2012,11,2012-11-01,PR,0417800,0417800 - PORTO DE SUAPE,22,29,1107,31,0,1138,50.318182,1.318182,38.172414,1
2012,11,2012-11-01,PR,0915200,0915200 - CURITIBA,521,370,24664,6755,17,31436,47.339731,0.710173,66.659459,2
2012,11,2012-11-01,PR,0917800,0917800 - PORTO DE PARANAGUA,168942,115813,2142727,76038,1149,2219914,12.683211,0.685519,18.50161,8
2012,11,2012-11-01,RJ,0717700,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO,61,12,1188,90,0,1278,19.47541,0.196721,99.0,3
2012,11,2012-11-01,RS,1017700,1017700 - PORTO DE RIO GRANDE,600,553,6765,527,60,7352,11.275,0.921667,12.233273,1
2012,11,2012-11-01,SC,0920351,0920351 - DIONISIO CERQUEIRA,58050,36583,1084160,18900,2220,1105280,18.676314,0.630198,29.635623,1
2012,11,2012-11-01,SC,0927800,0927800 - ITAJAI,4341,3190,110407,1234,69,111710,25.433541,0.734854,34.610345,3
2012,11,2012-11-01,SP,0817600,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,83,56,2422,1234,6,3662,29.180723,0.674699,43.25,4
2012,11,2012-11-01,SP,0817700,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS,1147,650,56409,21387,11,77807,49.179599,0.566696,86.783077,8
2012,11,2012-11-01,SP,0817800,0817800 - PORTO DE SANTOS,61666,35329,880898,20737,880,902515,14.284987,0.572909,24.934133,7
2012,12,2012-12-01,ES,0717600,0717600 - PORTO DO RIO DE JANEIRO,392,286,32655,1505,0,34160,83.303571,0.729592,114.178322,1
2012,12,2012-12-01,ES,0717800,0717800 - PORTO DE ITAGUAI,3660,3919,132206,5360,0,137566,36.121858,1.070765,33.734626,1
2012,12,2012-12-01,ES,0727600,0727600 - PORTO DE VITORIA,1268,1518,60611,1915,294,62820,47.800473,1.197161,39.928195,3
2012,12,2012-12-01,ES,0817700,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS,6,5,441,65,1,507,73.5,0.833333,88.2,1
2012,12,2012-12-01,ES,0817800,0817800 - PORTO DE SANTOS,1205,880,53613,1102,78,54793,44.492116,0.73029,60.923864,1
2012,12,2012-12-01,MG,0817800,0817800 - PORTO DE SANTOS,117,92,7149,293,23,7465,61.102564,0.786325,77.706522,1
2012,12,2012-12-01,PB,0417800,0417800 - PORTO DE SUAPE,29359,23272,227065,16533,0,243598,7.734085,0.79267,9.757004,1
2012,12,2012-12-01,PB,0717800,0717800 - PORTO DE ITAGUAI,387212,259987,9392528,151797,15972,9560297,24.25681,0.671433,36.126914,4
2012,12,2012-12-01,PR,0917800,0917800 - PORTO DE PARANAGUA,121220,82779,1772131,56022,950,1829103,14.619131,0.682882,21.407978,8
2012,12,2012-12-01,RJ,0717700,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO,11,3,264,1,0,265,24.0,0.272727,88.0,2
2012,12,2012-12-01,SC,0920351,0920351 - DIONISIO CERQUEIRA,47799,30379,871041,16200,1786,889027,18.222996,0.635557,28.672471,1
