year,month,period,ncm,ncm_bucket,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
2022,9,2022-09-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",71428,57273,2287944,149410,1835,2439189,32.031472,0.801828,39.948038,15
2022,9,2022-09-01,64041100,"6404.11.00 - Sports footwear, textile upper",505818,345872,12196094,624931,5724,12826749,24.111625,0.683787,35.261871,27
2022,10,2022-10-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",34865,23606,910252,69619,527,980398,26.107902,0.677069,38.560197,13
2022,10,2022-10-01,64041100,"6404.11.00 - Sports footwear, textile upper",525022,393173,14662822,770858,6725,15440405,27.928014,0.74887,37.293563,31
2022,11,2022-11-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",40090,26589,885129,63055,681,948865,22.078548,0.663233,33.289293,19
2022,11,2022-11-01,64041100,"6404.11.00 - Sports footwear, textile upper",461277,330418,11325004,802945,6293,12134242,24.551417,0.716311,34.274779,28
2022,12,2022-12-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",73719,43157,1173853,86612,903,1261368,15.923344,0.585426,27.199597,15
2022,12,2022-12-01,64041100,"6404.11.00 - Sports footwear, textile upper",592117,399338,15375190,865384,7341,16247915,25.966473,0.674424,38.501695,33
2023,1,2023-01-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",56784,35679,1546149,45773,648,1592570,27.228603,0.628328,43.334987,20
2023,1,2023-01-01,64041100,"6404.11.00 - Sports footwear, textile upper",761894,519159,20468201,819272,8426,21295899,26.864893,0.681406,39.425688,33
2023,2,2023-02-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",37616,22236,636116,25161,512,661789,16.910783,0.591131,28.607483,18
2023,2,2023-02-01,64041100,"6404.11.00 - Sports footwear, textile upper",545424,365318,15104259,512749,6732,15623740,27.692692,0.669787,41.34551,27
2023,3,2023-03-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",59501,31558,1199041,43425,934,1243400,20.151611,0.530378,37.994835,23
2023,3,2023-03-01,64041100,"6404.11.00 - Sports footwear, textile upper",309678,200622,8480891,305187,3519,8789597,27.386159,0.647841,42.272986,34
2023,4,2023-04-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",41627,25068,1088291,25494,600,1114385,26.143873,0.602205,43.413555,25
2023,4,2023-04-01,64041100,"6404.11.00 - Sports footwear, textile upper",510151,347726,13538261,370204,6275,13914740,26.537753,0.681614,38.933704,40
2023,5,2023-05-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",79292,58329,1879969,57867,786,1938622,23.709441,0.735623,32.230434,29
2023,5,2023-05-01,64041100,"6404.11.00 - Sports footwear, textile upper",727426,493446,18705980,405518,8363,19119861,25.715303,0.678345,37.908869,40
2023,6,2023-06-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",88513,54759,1996797,46283,1263,2044343,22.559364,0.618655,36.465184,23
2023,6,2023-06-01,64041100,"6404.11.00 - Sports footwear, textile upper",612360,413418,14852419,329660,8211,15190290,24.254391,0.675122,35.925913,35
2023,7,2023-07-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",103846,68803,2175646,45795,1536,2222977,20.950696,0.662548,31.621383,26
