brand,franchise_label_auto,n_skus_franchise,n_gps_franchise,gens_detected,first_seen,last_seen,example_names,KEEP_MERGE_SPLIT,new_franchise_label,merge_with_franchise,note
Nike,Team Hustle Academy,109,3,,2025-07-28,2026-05-21,Tênis Nike Team Hustle Academy - Masculino | Tênis Masculino Nike Team Hustle Academy | Tênis Nike Team Hustle Academy Masculino,,,,
Nike,Futsal Beco,107,2,2,2025-07-28,2026-03-26,Chuteira Futsal Nike Beco 2 - Adulto | Chuteira Futsal Adulto Nike Beco 2,,,,
Nike,Jordan Heir,107,4,,2025-07-28,2026-05-21,Tênis Nike Jordan Heir Masculino | Tênis Nike Jordan Heir - Masculino | Tênis Nike Jordan Heir - Feminino | Tênis Unissex Nike Jordan Heir,,,,
Nike,Reax,107,5,8,2025-10-23,2026-05-21,Tênis Feminino Nike Reax 8 TR | Tênis Masculino Nike Reax 8 SL | Tênis Masculino Nike Reax 8 TR | Tênis Feminino Nike Reax 8 SL,,,,
Nike,Ja,106,12,"1,2,3",2025-07-28,2026-05-14,Tênis Nike Ja 1 - Adulto | Tênis Masculino Nike JA 3 | Tênis Masculino Nike Ja 2 | Tênis Nike JA 1 Scratch Masculino,,,,
Nike,Air Zoom Rival Fly,105,2,4,2025-07-28,2026-05-21,Tênis Nike Air Zoom Rival Fly 4 Masculino | Tênis Masculino Nike Air Zoom Rival Fly 4,,,,
Nike,Precision,105,8,"6,7,8",2025-09-25,2026-05-21,Tênis Nike Precision 7 - Adulto | Tênis Masculino Nike Precision 8 Low | Tênis Masculino Nike Precision 8 Mid | Tênis Masculino Nike Precision 8 MID,,,,
Nike,Zoom Superfly,105,22,"9,10",2025-07-28,2026-05-21,Chuteira de Campo Nike Zoom Superfly 10 Academy - Adulto | Chuteira Society Masculina Nike Zoom Superfly 10 Academy KM | Chuteira Society Nike Zoom Superfly 10 Academy Adulto | Chuteira de Campo Nike Zoom Superfly 10 Elite LV8,,,,
Nike,Court Vision Alta,103,3,,2025-07-28,2026-05-21,Tênis Nike Court Vision Alta - Feminino | Tênis Feminino Nike Court Vision Alta | Tênis Nike Court Vision Alta Feminino,,,,
Nike,Jordan Tatum,103,11,"1,2,3,4",2025-07-28,2026-05-21,Tênis Masculino Nike Jordan Tatum 4 | Tênis Masculino Nike Jordan Tatum 3 | Tênis Nike Jordan Tatum 2 Masculino | Tênis Masculino Nike Jordan Tatum 1,,,,
Nike,Lebron Witness,103,4,"6,7,8",2025-08-28,2026-03-05,Tênis Nike Lebron Witness 8 - Masculino | Tênis Masculino Nike LeBron Witness 8 | Tênis Nike LeBron Witness 6 - Masculino | Tênis Nike LeBron Witness 7 - Masculino,,,,
Nike,Air Zoom Alphafly Next %,102,3,3,2025-07-28,2026-05-21,Tênis Nike Air Zoom Alphafly Next % 3 Feminino | Tênis Nike Air Zoom Alphafly Next % 3 Masculino | Tênis Nike Air Zoom Alphafly Next % 3 FP Feminino,,,,
Nike,Air Zoom G.t. Academy,102,5,2,2025-07-28,2026-05-21,Tênis Nike Air Zoom G.T. Academy - Masculino | Tênis Masculino Nike Air Zoom G.T. Academy | Tênis Masculino Nike Air Zoom G.T. Academy 2 | Tênis Nike Air Zoom G.T. Academy Masculino,,,,
